County,County seat
Los Angeles,Los Angeles
Cook,Chicago
Harris,Houston
Maricopa,Phoenix
San Diego,San Diego
OrangeC,Santa Ana
Miami-Dade,Miami
Dallas,Dallas
Kings,Brooklyn
Riverside,Riverside
Clark,Las Vegas
Queens,Queens
King,Seattle
San Bernardino,San Bernardino
Tarrant,Fort Worth
Bexar,San Antonio
Broward,Fort Lauderdale
Santa Clara,San Jose
Wayne,Detroit
Alameda,Oakland
New York,Manhattan
Middlesex,Lowell
Philadelphia,Philadelphia
Sacramento,Sacramento
Palm Beach,West Palm Beach
Suffolk,Riverhead
Hillsborough,Tampa
Bronx,Bronx
OrangeF,Orlando
Nassau,Mineola
Franklin,Columbus
Travis,Austin
Hennepin,Minneapolis
Oakland,Pontiac
Cuyahoga,Cleveland
Allegheny,Pittsburgh
Salt Lake,Salt Lake City
Contra Costa,Martinez
Fairfax,Fairfax
Wake,Raleigh
Mecklenburg,Charlotte
Fulton,Atlanta
Montgomery,Rockville
Pima,Tucson
Collin,McKinney
Fresno,Fresno
St. Louis,Clayton
Pinellas,Clearwater
Honolulu,Honolulu
Westchester,White Plains
Marion,Indianapolis
Duval,Jacksonville
Milwaukee,Milwaukee
Fairfield,Bridgeport
Shelby,Memphis
Gwinnett,Lawrenceville
Bergen,Hackensack
DuPage,Wheaton
Erie,Buffalo
Prince George's,Upper Marlboro
Pierce,Tacoma
Kern,Bakersfield
Hartford,Hartford
Denton,Denton
San Francisco,San Francisco
Macomb,Mount Clemens
Hidalgo,Edinburg
New Haven,New Haven
Ventura,Ventura
El Paso,El Paso
Montgomery,Norristown
Worcester,Worcester
Baltimore,Towson
Middlesex,New Brunswick
Snohomish,Everett
Hamilton,Cincinnati
Multnomah,Portland
Fort Bend,Richmond
Suffolk,Boston
Essex,Newark
Oklahoma,Oklahoma City
Essex,Salem
Lee,Fort Myers
Jefferson,Louisville
San Mateo,Redwood City
San Joaquin,Stockton
Cobb,Marietta
DeKalb,Decatur
Monroe,Rochester
Denver,Denver
Polk,Bartow
El Paso,Colorado Springs
Norfolk,Dedham
District of Columbia,Washington DC
Jackson,Kansas City
Lake,Waukegan
Davidson,Nashville
Will,Joliet
Bernalillo,Albuquerque
Hudson,Jersey City
Providence,Providence
Utah,Provo
