city,county,state,date,threshold,word,frequency
Phoenix,Maricopa,Arizona,4/3/2020,1,get,158
Phoenix,Maricopa,Arizona,4/3/2020,1,like,152
Phoenix,Maricopa,Arizona,4/3/2020,1,time,147
Phoenix,Maricopa,Arizona,4/3/2020,1,amp,125
Phoenix,Maricopa,Arizona,4/3/2020,1,one,121
Phoenix,Maricopa,Arizona,4/3/2020,1,need,117
Phoenix,Maricopa,Arizona,4/3/2020,1,day,116
Phoenix,Maricopa,Arizona,4/3/2020,1,love,113
Phoenix,Maricopa,Arizona,4/3/2020,1,know,113
Phoenix,Maricopa,Arizona,4/3/2020,1,people,111
Phoenix,Maricopa,Arizona,4/3/2020,1,would,96
Phoenix,Maricopa,Arizona,4/3/2020,1,nt,94
Phoenix,Maricopa,Arizona,4/3/2020,1,good,89
Phoenix,Maricopa,Arizona,4/3/2020,1,thank,87
Phoenix,Maricopa,Arizona,4/3/2020,1,see,87
Phoenix,Maricopa,Arizona,4/3/2020,1,arizona,87
Phoenix,Maricopa,Arizona,4/3/2020,1,make,86
Phoenix,Maricopa,Arizona,4/3/2020,1,go,85
Phoenix,Maricopa,Arizona,4/3/2020,1,u,82
Phoenix,Maricopa,Arizona,4/3/2020,1,got,82
Phoenix,Maricopa,Arizona,4/3/2020,1,want,79
Phoenix,Maricopa,Arizona,4/3/2020,1,work,78
Phoenix,Maricopa,Arizona,4/3/2020,1,lol,76
Phoenix,Maricopa,Arizona,4/3/2020,1,think,74
Phoenix,Maricopa,Arizona,4/3/2020,1,back,72
Phoenix,Maricopa,Arizona,4/3/2020,1,home,71
Phoenix,Maricopa,Arizona,4/3/2020,1,let,70
Phoenix,Maricopa,Arizona,4/3/2020,1,going,69
Phoenix,Maricopa,Arizona,4/3/2020,1,phoenix,67
Phoenix,Maricopa,Arizona,4/3/2020,1,right,65
Phoenix,Maricopa,Arizona,4/3/2020,1,say,64
Phoenix,Maricopa,Arizona,4/3/2020,1,really,63
Phoenix,Maricopa,Arizona,4/3/2020,1,even,63
Phoenix,Maricopa,Arizona,4/3/2020,1,na,63
Phoenix,Maricopa,Arizona,4/3/2020,1,thing,58
Phoenix,Maricopa,Arizona,4/3/2020,1,year,57
Phoenix,Maricopa,Arizona,4/3/2020,1,trump,56
Phoenix,Maricopa,Arizona,4/3/2020,1,today,54
Phoenix,Maricopa,Arizona,4/3/2020,1,shit,53
Phoenix,Maricopa,Arizona,4/3/2020,1,life,53
Phoenix,Maricopa,Arizona,4/3/2020,1,new,53
Phoenix,Maricopa,Arizona,4/3/2020,1,well,52
Phoenix,Maricopa,Arizona,4/3/2020,1,still,52
Phoenix,Maricopa,Arizona,4/3/2020,1,look,51
Phoenix,Maricopa,Arizona,4/3/2020,1,great,51
Phoenix,Maricopa,Arizona,4/3/2020,1,much,51
Phoenix,Maricopa,Arizona,4/3/2020,1,take,50
Phoenix,Maricopa,Arizona,4/3/2020,1,best,49
Phoenix,Maricopa,Arizona,4/3/2020,1,family,48
Phoenix,Maricopa,Arizona,4/3/2020,1,happy,48
Phoenix,Maricopa,Arizona,6/2/2020,2,people,222
Phoenix,Maricopa,Arizona,6/2/2020,2,like,175
Phoenix,Maricopa,Arizona,6/2/2020,2,get,162
Phoenix,Maricopa,Arizona,6/2/2020,2,one,161
Phoenix,Maricopa,Arizona,6/2/2020,2,amp,149
Phoenix,Maricopa,Arizona,6/2/2020,2,know,139
Phoenix,Maricopa,Arizona,6/2/2020,2,trump,138
Phoenix,Maricopa,Arizona,6/2/2020,2,need,133
Phoenix,Maricopa,Arizona,6/2/2020,2,right,127
Phoenix,Maricopa,Arizona,6/2/2020,2,black,118
Phoenix,Maricopa,Arizona,6/2/2020,2,time,116
Phoenix,Maricopa,Arizona,6/2/2020,2,go,113
Phoenix,Maricopa,Arizona,6/2/2020,2,u,109
Phoenix,Maricopa,Arizona,6/2/2020,2,nt,100
Phoenix,Maricopa,Arizona,6/2/2020,2,protest,99
Phoenix,Maricopa,Arizona,6/2/2020,2,police,98
Phoenix,Maricopa,Arizona,6/2/2020,2,love,97
Phoenix,Maricopa,Arizona,6/2/2020,2,good,96
Phoenix,Maricopa,Arizona,6/2/2020,2,make,94
Phoenix,Maricopa,Arizona,6/2/2020,2,got,93
Phoenix,Maricopa,Arizona,6/2/2020,2,going,91
Phoenix,Maricopa,Arizona,6/2/2020,2,see,91
Phoenix,Maricopa,Arizona,6/2/2020,2,white,89
Phoenix,Maricopa,Arizona,6/2/2020,2,realdonaldtrump,86
Phoenix,Maricopa,Arizona,6/2/2020,2,day,86
Phoenix,Maricopa,Arizona,6/2/2020,2,shit,86
Phoenix,Maricopa,Arizona,6/2/2020,2,fuck,84
Phoenix,Maricopa,Arizona,6/2/2020,2,phoenix,82
Phoenix,Maricopa,Arizona,6/2/2020,2,want,81
Phoenix,Maricopa,Arizona,6/2/2020,2,life,80
Phoenix,Maricopa,Arizona,6/2/2020,2,please,79
Phoenix,Maricopa,Arizona,6/2/2020,2,would,79
Phoenix,Maricopa,Arizona,6/2/2020,2,think,79
Phoenix,Maricopa,Arizona,6/2/2020,2,thing,78
Phoenix,Maricopa,Arizona,6/2/2020,2,today,75
Phoenix,Maricopa,Arizona,6/2/2020,2,cop,73
Phoenix,Maricopa,Arizona,6/2/2020,2,way,69
Phoenix,Maricopa,Arizona,6/2/2020,2,really,68
Phoenix,Maricopa,Arizona,6/2/2020,2,year,66
Phoenix,Maricopa,Arizona,6/2/2020,2,take,65
Phoenix,Maricopa,Arizona,6/2/2020,2,thank,63
Phoenix,Maricopa,Arizona,6/2/2020,2,let,63
Phoenix,Maricopa,Arizona,6/2/2020,2,american,63
Phoenix,Maricopa,Arizona,6/2/2020,2,work,63
Phoenix,Maricopa,Arizona,6/2/2020,2,change,63
Phoenix,Maricopa,Arizona,6/2/2020,2,arizona,63
Phoenix,Maricopa,Arizona,6/2/2020,2,man,61
Phoenix,Maricopa,Arizona,6/2/2020,2,president,59
Phoenix,Maricopa,Arizona,6/2/2020,2,even,58
Phoenix,Maricopa,Arizona,6/2/2020,2,first,57
Phoenix,Maricopa,Arizona,6/21/2020,3,like,177
Phoenix,Maricopa,Arizona,6/21/2020,3,get,173
Phoenix,Maricopa,Arizona,6/21/2020,3,people,160
Phoenix,Maricopa,Arizona,6/21/2020,3,day,128
Phoenix,Maricopa,Arizona,6/21/2020,3,one,115
Phoenix,Maricopa,Arizona,6/21/2020,3,amp,112
Phoenix,Maricopa,Arizona,6/21/2020,3,time,112
Phoenix,Maricopa,Arizona,6/21/2020,3,trump,109
Phoenix,Maricopa,Arizona,6/21/2020,3,nt,108
Phoenix,Maricopa,Arizona,6/21/2020,3,know,103
Phoenix,Maricopa,Arizona,6/21/2020,3,go,101
Phoenix,Maricopa,Arizona,6/21/2020,3,good,101
Phoenix,Maricopa,Arizona,6/21/2020,3,mask,99
Phoenix,Maricopa,Arizona,6/21/2020,3,see,94
Phoenix,Maricopa,Arizona,6/21/2020,3,love,90
Phoenix,Maricopa,Arizona,6/21/2020,3,realdonaldtrump,89
Phoenix,Maricopa,Arizona,6/21/2020,3,got,88
Phoenix,Maricopa,Arizona,6/21/2020,3,look,86
Phoenix,Maricopa,Arizona,6/21/2020,3,need,85
Phoenix,Maricopa,Arizona,6/21/2020,3,phoenix,84
Phoenix,Maricopa,Arizona,6/21/2020,3,right,76
Phoenix,Maricopa,Arizona,6/21/2020,3,today,76
Phoenix,Maricopa,Arizona,6/21/2020,3,going,75
Phoenix,Maricopa,Arizona,6/21/2020,3,arizona,73
Phoenix,Maricopa,Arizona,6/21/2020,3,u,72
Phoenix,Maricopa,Arizona,6/21/2020,3,think,70
Phoenix,Maricopa,Arizona,6/21/2020,3,make,70
Phoenix,Maricopa,Arizona,6/21/2020,3,want,66
Phoenix,Maricopa,Arizona,6/21/2020,3,really,63
Phoenix,Maricopa,Arizona,6/21/2020,3,would,63
Phoenix,Maricopa,Arizona,6/21/2020,3,back,62
Phoenix,Maricopa,Arizona,6/21/2020,3,many,59
Phoenix,Maricopa,Arizona,6/21/2020,3,still,59
Phoenix,Maricopa,Arizona,6/21/2020,3,thing,58
Phoenix,Maricopa,Arizona,6/21/2020,3,let,58
Phoenix,Maricopa,Arizona,6/21/2020,3,az,58
Phoenix,Maricopa,Arizona,6/21/2020,3,new,57
Phoenix,Maricopa,Arizona,6/21/2020,3,even,56
Phoenix,Maricopa,Arizona,6/21/2020,3,thank,56
Phoenix,Maricopa,Arizona,6/21/2020,3,way,54
Phoenix,Maricopa,Arizona,6/21/2020,3,well,53
Phoenix,Maricopa,Arizona,6/21/2020,3,year,50
Phoenix,Maricopa,Arizona,6/21/2020,3,lol,50
Phoenix,Maricopa,Arizona,6/21/2020,3,great,50
Phoenix,Maricopa,Arizona,6/21/2020,3,take,49
Phoenix,Maricopa,Arizona,6/21/2020,3,say,49
Phoenix,Maricopa,Arizona,6/21/2020,3,na,48
Phoenix,Maricopa,Arizona,6/21/2020,3,last,48
Phoenix,Maricopa,Arizona,6/21/2020,3,life,47
Phoenix,Maricopa,Arizona,6/21/2020,3,also,45
Phoenix,Maricopa,Arizona,7/22/2020,4,like,188
Phoenix,Maricopa,Arizona,7/22/2020,4,get,144
Phoenix,Maricopa,Arizona,7/22/2020,4,amp,136
Phoenix,Maricopa,Arizona,7/22/2020,4,one,136
Phoenix,Maricopa,Arizona,7/22/2020,4,good,112
Phoenix,Maricopa,Arizona,7/22/2020,4,know,112
Phoenix,Maricopa,Arizona,7/22/2020,4,trump,111
Phoenix,Maricopa,Arizona,7/22/2020,4,got,106
Phoenix,Maricopa,Arizona,7/22/2020,4,go,105
Phoenix,Maricopa,Arizona,7/22/2020,4,time,105
Phoenix,Maricopa,Arizona,7/22/2020,4,need,103
Phoenix,Maricopa,Arizona,7/22/2020,4,would,102
Phoenix,Maricopa,Arizona,7/22/2020,4,nt,102
Phoenix,Maricopa,Arizona,7/22/2020,4,complex,99
Phoenix,Maricopa,Arizona,7/22/2020,4,jabake,96
Phoenix,Maricopa,Arizona,7/22/2020,4,people,93
Phoenix,Maricopa,Arizona,7/22/2020,4,love,89
Phoenix,Maricopa,Arizona,7/22/2020,4,make,88
Phoenix,Maricopa,Arizona,7/22/2020,4,day,88
Phoenix,Maricopa,Arizona,7/22/2020,4,year,87
Phoenix,Maricopa,Arizona,7/22/2020,4,derrickspencer,86
